max-num-batched-tokens,max-num-seqs,swap-space,block-size,scheduler-delay-factor,gpu-memory-utilization,enable-chunked-prefill,enable-prefix-caching,disable-custom-all-reduce,use-v2-block-manager,latency_average,latency_p99,tokens_per_second_average,time_to_first_token_average,time_to_first_token_p99,time_per_output_token_average,time_per_output_token_p99
7780,905,5,32,0.58,0.84,True,True,False,True,4.857736757397651,4.921071763038635,10.245646863405913,1.295637345314026,1.597186381816864,0.0976309850414594,0.1012898585319518
6333,2023,2,8,1.49,0.84,False,True,False,False,3.5173197412490844,5.205033044815064,16.093462777819536,0.7814730501174927,2.200966489315033,0.0706480766160815,0.1041006608963012
4888,1338,8,16,0.26,0.81,True,True,True,True,5.057206603884697,5.115276854038238,9.887440725275365,1.2402378112077712,1.5881908226013184,0.1011441320776939,0.1023055370807647
5433,568,7,8,0.77,0.75,False,False,False,False,4.505948438644409,4.98643741607666,11.370167990594666,1.1606006813049317,1.5341482234001158,0.0906514462120392,0.0997796026229858
5739,1573,2,16,1.22,0.94,False,False,False,True,4.428855465650559,4.8517288088798525,11.494486467101058,1.09194664478302,1.7047310924530028,0.0893832675402243,0.1003040938377378
5748,721,2,16,0.62,0.78,False,True,False,False,3.8346768450737,4.457484922409058,13.49868700547021,0.6941805624961853,1.1849035573005675,0.076693536901474,0.0891496984481811
8074,949,8,32,1.81,0.97,False,True,False,True,4.66500815153122,5.4928218126297,11.071107037360258,1.308608899116516,1.9215176725387573,0.0938633728504181,0.109860835647583
4286,1088,8,32,0.17,0.92,False,True,True,False,3.925941964387894,4.686001238822937,13.305423800344672,0.6845215225219726,1.242128918170929,0.0786786542469455,0.0937200247764587
7557,776,5,32,1.26,0.81,False,False,False,False,4.44706854224205,5.053909604549408,11.554636366790303,1.2173534214496613,1.8562894582748413,0.0891200343117995,0.1012297640800476
6502,376,6,32,1.4,0.92,False,False,True,False,4.41661386847496,4.856935188770295,11.53775904191978,1.264355273246765,1.8410505628585816,0.0883322773694991,0.0971387037754058
5912,1197,6,16,0.18,0.95,False,True,False,True,4.314089595079422,5.435396673679352,12.35677025288267,0.7843569564819336,1.6400761556625367,0.0864788469008037,0.108707933473587
6797,539,7,8,0.06,0.74,False,True,False,False,3.9223449456691744,4.561080021858215,12.981642806463212,0.7014966547489166,1.4018490982055665,0.0790669316988724,0.0912749388694763
6531,1978,4,32,0.2,0.89,True,False,False,True,4.532869180440903,4.957839529514312,11.372024030464594,1.228969316482544,1.6032533383369445,0.0906573836088179,0.0991567905902862
8151,897,3,8,0.5,0.9,True,False,True,True,4.759745000600815,5.617108929157257,10.971473943243105,1.4544937801361084,2.24397097826004,0.0962778056966507,0.1125937930780296
7615,966,2,8,0.6,0.87,False,False,True,True,4.678078883886338,5.272620310783386,11.058268563325848,1.2449693417549133,1.5932195806503295,0.0938888173341751,0.1054524062156677
8004,1168,5,32,0.57,0.73,True,False,False,False,4.47565163731575,5.066203029155731,11.637455331945674,1.399859888553619,1.7326869511604308,0.0901020131410587,0.1015122365951538
4325,2001,5,8,1.92,0.94,True,False,False,False,4.641202639341355,5.423495593070984,11.240623731793532,1.3523580503463746,2.154238214492798,0.0933936547199884,0.1084872262954711
6095,199,2,32,0.58,0.78,False,True,False,False,3.91693587064743,4.586899478435516,13.23194117345347,0.7159588980674744,1.2024078226089476,0.0786037638298102,0.0917379895687103
7205,1580,2,8,1.27,0.73,False,False,False,True,4.394828060865402,4.967957136631012,11.663932099329768,1.234218887090683,1.6285095024108889,0.087896561217308,0.0993591427326202
4709,2009,2,32,0.79,0.82,True,True,False,True,5.030626484751702,5.071342194080353,9.939619392914498,1.276659458875656,1.6307055830955506,0.100612529695034,0.101426843881607
7582,1903,7,16,1.41,0.86,True,False,False,False,4.480593252182007,4.902570252418518,11.45918416837582,1.2770287525653838,1.6486006689071655,0.0897688413644658,0.0980514050483703
6101,1982,7,32,1.95,0.95,False,True,False,True,4.087097935676574,5.2314521288871765,12.62548842898958,0.941248869895935,2.270715370178223,0.0821729520003001,0.1046741106986999
4105,405,6,8,1.08,0.83,False,False,True,True,4.523483046293259,5.04923513174057,11.3673627917873,1.1156996822357177,1.5506890273094178,0.0907693123872462,0.1010594989776611
5400,810,6,32,1.09,0.73,True,True,False,True,4.558164250850678,4.62413001537323,10.855593105314846,1.2345526814460754,1.5546892976760864,0.0924589955876855,0.106048519061593
4023,1552,3,32,0.44,0.91,True,False,True,True,4.487906820774079,4.95511789560318,11.45083727003399,1.0900318026542664,1.5659561419487,0.0902725453755435,0.0991093338489532
4564,1929,3,16,0.99,0.92,False,True,True,True,4.015473297834396,4.96543796300888,13.07246999182285,0.7505762636661529,1.5941376662254334,0.0806168826117234,0.0993087592601776
6028,700,6,8,0.46,0.77,True,False,True,True,4.830469045639038,5.62380234003067,10.828720440317294,1.5379797112941742,2.359349961280823,0.0966093809127808,0.1124760468006134
5683,1842,3,32,0.29,0.83,True,True,True,True,4.906992283463478,4.973177421092987,10.136402585440432,1.2976327121257782,1.5986923599243164,0.0986992379849956,0.1036661155177699
5363,1141,1,32,0.44,0.8,True,False,True,True,4.223835929632187,4.708906199932098,12.176452270077764,1.093509432077408,1.6939797234535217,0.0844767185926437,0.0941781239986419
6940,195,7,16,1.27,0.84,False,True,False,True,4.048076856136322,4.994692742824554,13.044178195408216,0.8114429187774658,1.661888508796692,0.0811608120954953,0.0999781952857971
6562,1066,4,16,0.53,0.89,False,True,False,False,3.771155942678452,4.501535403728485,13.728584232533269,0.6235170030593872,1.130244460105896,0.0758484328830943,0.0900394167900085
8012,1753,4,8,1.37,0.87,False,True,True,True,4.375971729755402,4.936712272167206,12.03866451387626,1.179430304765701,1.8892193555831909,0.0875194345951079,0.0987342454433441
5028,1700,5,16,1.26,0.83,False,False,False,False,4.471372981071472,5.063228642940521,11.51246361490687,1.058313901424408,1.605143721103668,0.089860540819168,0.1013460510253906
7833,1543,8,16,0.02,0.92,True,True,False,True,5.200145661830902,5.245193815231323,9.61547995879774,1.5149170607328415,1.5857727003097537,0.104002913236618,0.1049038763046264
6516,1424,7,32,1.11,0.75,False,False,False,False,4.4991788947582245,4.932526106834412,11.418128851054805,1.19366198182106,1.591605110168457,0.0904958726659654,0.0991955718570285
4013,1701,4,32,1.11,0.89,False,True,True,False,3.842142288684845,4.480002460479736,13.471120100692422,0.6639955496788025,1.180323612689972,0.0770646390493099,0.0896251950740814
7875,1106,4,32,1.26,0.81,False,True,False,False,3.800638107061386,4.413597028255462,13.588047278554624,0.6442228746414185,1.1637630891799926,0.0760900687098503,0.0882719405651092
7464,465,4,8,0.24,0.72,True,False,False,True,4.84715090751648,5.472091624736786,10.74958105829684,1.6071444880962371,2.1034325432777403,0.0969970722788856,0.1094418324947357
8020,1839,3,8,1.44,0.99,True,True,False,True,4.588660925626755,4.641137228012085,10.896881895339712,2.034286627173424,2.250386817455292,0.091773218512535,0.0928227445602417
7563,1619,7,8,0.98,0.9,False,True,True,True,4.93977223277092,6.11459035396576,10.830139734384426,1.5848765659332276,2.669276990890503,0.0993430647114979,0.1230343111271081
7421,703,3,8,0.07,0.96,False,False,False,True,4.57772837638855,5.01758421421051,11.277849121895096,1.2571523225307464,1.6411528038978576,0.0915545675277709,0.1003516842842102
6625,107,6,16,1.84,0.81,True,True,False,True,4.802667552232743,4.887694118022918,10.299713434070837,1.260311061143875,1.4336201238632202,0.0973505662232637,0.1094988551259037
5194,1570,7,32,0.56,0.9,True,False,False,True,4.3625184452533725,4.835463581085205,11.812275860590866,1.0200939404964446,1.5047180891036986,0.0879418188692448,0.0968457331217251
7501,1578,7,32,1.14,0.8,False,True,False,False,3.884357019662857,4.6034721398353575,13.373195363933894,0.8297023916244507,1.4454607677459717,0.0776871403932571,0.0920694427967071
4651,1555,1,32,0.77,0.72,False,True,False,False,2.945054250955581,3.52673853635788,17.529969438887214,0.6692426407337189,1.1579581785202029,0.0589786307912884,0.0705347707271576
6719,1803,1,32,0.67,0.8,False,True,False,True,4.031252954006195,4.846052086353302,12.938373330542952,0.8101207685470581,1.4570451259613038,0.0808597409037982,0.096921041727066
4423,338,2,32,1.95,0.76,False,True,False,True,4.583663437366486,5.620497839450836,11.284684431774048,1.1458095264434816,2.024175269603729,0.0918261486325945,0.1124099567890167
7978,1910,4,32,0.6,0.9,False,False,False,True,4.505555642843246,4.939783806800842,11.387313109085724,1.1960941934585572,1.492732334136963,0.0910700985436838,0.0993350999982729
7179,259,1,16,0.45,0.92,False,False,True,True,4.446105499267578,4.869308557510376,11.572162010600447,1.1772080254554749,1.5251542115211487,0.0893951740721576,0.0976944911078402
4627,295,5,32,1.39,0.76,False,False,True,False,4.501978975534439,5.290428287982941,11.40980792805174,1.218314791917801,1.892868804931641,0.0902361327686618,0.1058085657596588
4113,1159,6,16,1.43,0.98,False,False,True,True,4.47513669013977,4.930069599151612,11.414545319114884,1.1798286306858063,1.7115404200553894,0.0899657013575236,0.0986392511367797
7252,695,5,8,1.14,0.87,False,True,True,False,4.086912853717804,5.067846205234528,12.877921118490896,0.8290760564804077,1.8370848989486688,0.081738257074356,0.1013569241046905
6846,554,5,8,0.57,0.86,False,True,True,True,4.286478033065796,4.874061632156372,12.239865922944457,0.9802086758613586,1.517881841659546,0.0860035231851703,0.0974815506458282
6336,534,8,32,0.21,0.71,True,True,False,True,4.992911288142205,5.061626453399658,9.910720890162086,1.3555050373077393,1.6003867673873902,0.1011979051442707,0.1141622631746176
7822,1375,1,16,1.56,0.73,False,False,False,False,4.4786596357822415,5.483768489360809,11.495686054623356,1.3525306153297425,2.087744996547699,0.0895731927156448,0.1096753697872161
5665,305,2,8,1.54,0.92,True,True,True,True,5.410164833068848,5.452322330474853,9.24209967127126,1.7803459912538528,2.078369007110596,0.1082032966613769,0.109046446609497
7061,1447,1,8,1.92,0.89,False,False,False,True,4.567683033943176,6.370464270114899,11.280942858964512,1.3222066402435302,2.3238526034355163,0.0920120270228811,0.127497236585617
6982,1507,5,8,1.12,0.7,True,False,False,True,4.6894519019126895,5.458243219852448,11.069058709610951,1.373547693490982,2.1518348908424376,0.0946939189561749,0.1092137506008148
6197,884,8,32,1.64,0.9,False,True,False,True,4.485246021747589,5.72225088596344,11.503922584375518,1.0859817802906035,2.00609043598175,0.0899301435947418,0.1144450177192688
6839,1769,8,16,0.95,0.73,False,False,True,False,4.464662985801697,5.00238068819046,11.442663391323132,1.170290055274963,1.4939227819442749,0.0915616540764431,0.1231100534925271
4903,699,6,8,1.31,0.85,True,False,False,False,4.695645402669907,5.4444634413719175,11.045186109457312,1.3924118232727052,2.104588177204132,0.0942995695637805,0.1089708802998065
4821,1658,7,16,1.94,0.85,True,False,False,False,4.727083916664124,5.204446749687195,10.630010609922447,1.1559784162044524,1.5526722955703736,0.0951056392272313,0.1042104854106903
5052,1881,5,16,1.36,0.89,True,False,False,False,4.090904773473739,4.592775478363037,12.51487850808336,1.0983004367351532,1.511431086063385,0.0818180954694747,0.0918555095672607
6727,485,3,32,0.04,0.86,False,True,True,False,3.656287299394608,3.982997734546661,14.004819876838942,0.7438272964954377,1.2854029846191406,0.0731257459878921,0.0796599546909332
7548,115,6,8,1.53,0.98,False,True,False,False,4.154697262048721,5.436143290996552,12.789448735196508,0.8535022115707398,2.429895577430725,0.0833699925792628,0.1087560473442077
7085,1720,3,32,1.45,0.8,True,False,True,False,4.031648471355438,4.7773861622810365,13.098586213756771,1.070354963541031,1.5244707679748537,0.0820703400456243,0.1003146820465719
6551,1805,2,8,1.27,0.82,True,False,False,False,4.697503217458725,5.437635900974274,11.110901294575749,1.3823455560207367,2.04125613451004,0.0945977978623274,0.1092127167853442
6905,1010,8,32,0.62,0.95,True,False,False,False,4.372279077768326,4.763912971019745,11.743435111315476,1.18270690202713,1.520694432258606,0.0877565824031829,0.0952782594203949
4480,300,5,16,0.2,0.92,True,False,False,True,4.46920727610588,4.933103940486908,11.466394426064111,1.1130058860778809,1.6270332670211791,0.0901869306404724,0.0989691144440624
5959,2029,7,16,0.74,0.99,True,True,True,True,4.722433826327324,4.772119154930115,10.588740088555422,1.2767258614301682,1.5649233531951905,0.0944486765265464,0.0954423830986023
8119,1303,5,16,1.79,0.74,False,True,False,True,4.057753623723984,5.212580296993256,12.81329706313848,0.8874013566970825,2.1410567140579224,0.0818174603029301,0.1042516059398651
5582,1944,6,16,1.69,0.9,False,False,True,False,4.6817616367340085,5.442748427391052,11.060204746633362,1.2535703909397125,1.8114409947395325,0.0937017637929251,0.108854968547821
5247,1939,8,16,0.86,0.99,True,False,False,True,4.393143535852432,4.799835000038147,11.613761045792405,1.067352366447449,1.5057682037353517,0.0888623075849869,0.096716136988471
7868,616,6,8,1.42,0.93,True,False,True,False,4.588755066394806,5.32771858215332,11.301196252026704,1.5048599016666413,2.212332582473755,0.0920896066516638,0.1065543716430664
5688,1514,3,8,1.88,0.79,True,False,True,True,4.605428314208984,5.3536760306358335,11.260805145086309,1.293670700788498,2.12019778251648,0.0932082693169489,0.1074870885321965
5001,637,6,32,0.42,0.88,True,False,False,True,4.256442993879318,4.854180612564087,12.277203361796312,1.080377835035324,1.480021550655365,0.08633618366367,0.1100974725163169
4095,84,6,32,0.91,0.78,False,True,True,False,3.8198450875282286,4.362056984901428,13.39845057025036,0.7138690626621247,1.1931213808059693,0.0768435143195666,0.0872464369297027
5859,180,3,32,0.6,0.97,True,True,False,True,4.71999343931675,4.845083327293396,10.256477401812862,1.283964455127716,1.581689989566803,0.0984088358949212,0.1580011577045215
7922,1200,6,32,0.15,0.95,False,True,True,False,3.7745820021629335,4.424509828090668,13.624060213042323,0.6703437662124634,1.1789407777786254,0.0763865049084027,0.0886658010005949
4666,1494,4,8,0.92,0.73,False,True,False,False,3.561339474916458,4.163855891227723,14.419033876432774,0.7042369294166565,1.3550302600860595,0.0713399407080241,0.0832771178245544
7170,308,5,16,0.58,0.86,True,False,True,False,4.336873253583908,4.766642837524414,11.895119763089829,1.1783212578296662,1.4816860723495482,0.0867374650716781,0.0953328567504882
6487,405,8,16,1.68,0.91,False,True,True,False,3.5672549951076507,4.178358087539673,14.330375260818723,0.7003114438056945,1.3224282574653623,0.071345099902153,0.0835671617507934
5378,804,1,8,0.28,0.87,False,True,False,True,4.257442314624786,4.933154683113099,12.336642998232191,0.9338567411899568,1.4637202334403991,0.0853622935563326,0.0986630936622619
5371,368,2,8,1.45,0.94,False,True,True,True,5.1575805282592775,6.474205725193023,9.844043710654198,1.4984123194217682,2.3685947108268737,0.10408397561974,0.1295006472587585
5115,113,7,8,1.19,0.99,False,False,False,True,4.15637010216713,4.570919406414032,12.198882260914338,1.1262931060791015,1.5816028571128844,0.0860050992329915,0.0914457448482513
4922,976,5,8,0.86,0.76,False,True,False,False,4.055448273420334,4.975920493602753,12.94385010219037,0.7648644530773163,1.512644543647766,0.0811089654684067,0.099518409872055
4323,913,7,8,1.85,0.89,False,False,False,True,4.8967511844635006,5.898853974342346,10.520468606244084,1.3363995790481566,2.016532952785492,0.09793502368927,0.1179770794868469
4554,1759,5,32,0.42,0.91,True,True,False,True,4.267571321129799,4.307677190303802,11.71669178894377,1.1923531234264373,1.4690195655822753,0.0853514264225959,0.086153543806076
4041,1556,5,16,1.1,0.78,True,False,False,True,4.461849144697189,4.91489711523056,11.532420511201376,1.1060834169387816,1.5865341424942017,0.0894732530991236,0.0984250099182128
6636,2009,2,16,0.03,0.98,False,True,True,True,4.027850104570389,4.867928981781006,12.989312421457418,0.7721792852878571,1.503369278907776,0.0807445429325103,0.0973585796356201
5375,853,3,16,0.07,0.82,False,False,True,False,4.445232245922089,4.914004821777343,11.56419613060734,1.1227709829807282,1.5451679587364198,0.089580238050573,0.0984861151218413
4562,1150,3,16,1.21,0.86,False,False,False,True,4.526710306406021,4.999321675300598,11.344598965188029,1.18139803647995,1.6811374640464782,0.0910792955791248,0.0999976048469543
4360,1796,6,8,0.75,0.99,True,False,True,True,4.588414914608002,5.255048880577087,11.161095980706088,1.293369127511978,2.0079234933853147,0.0936693924215577,0.1569617511544908
5581,126,5,8,0.55,0.76,False,True,False,False,3.587873945236206,4.061388864517212,14.245958212315127,0.7745712804794311,1.495176215171814,0.0718520788987477,0.0812277772903442
6827,1887,8,16,0.11,0.74,False,True,False,True,4.028312395811081,4.868716268539429,12.966418254080809,0.7767271828651429,1.4866766262054445,0.0811104457974433,0.09740487408638
7164,729,2,16,1.96,0.78,False,True,False,False,3.8403820979595182,4.683628208637238,13.463424616055883,0.7023416256904602,1.3654693222045895,0.0775405844332424,0.0937597009658813
7872,1589,6,16,1.63,0.86,False,False,True,True,4.366927481889725,5.449237020015716,11.94005605053004,1.2997205281257629,2.0806232857704163,0.0874986444302967,0.1089847404003143
7564,1016,4,32,1.55,0.76,True,True,True,True,4.82335085272789,4.887337160110474,10.30901930097586,1.331655728816986,1.6354406762123108,0.0970457716782888,0.1015394655704497
8023,510,1,8,1.17,0.81,False,True,False,True,4.390632190704346,4.938325893878937,12.010145496000185,1.1265093660354617,1.664084062576294,0.0878126438140868,0.0987665178775787
