max-num-batched-tokens,max-num-seqs,swap-space,block-size,scheduler-delay-factor,gpu-memory-utilization,enable-chunked-prefill,enable-prefix-caching,disable-custom-all-reduce,use-v2-block-manager,latency_average,latency_p50,latency_p95,latency_p99,tokens_per_second_average,tokens_per_second_p50,tokens_per_second_p95,tokens_per_second_p99,time_to_first_token_average,time_to_first_token_p50,time_to_first_token_p95,time_to_first_token_p99,time_per_output_token_average,time_per_output_token_p50,time_per_output_token_p95,time_per_output_token_p99
6810,626,6,16,1.79,0.81,True,False,True,False,2.4836760580539705,2.4994471073150635,2.585286808013916,2.5991161036491395,20.15518060040935,20.00442422559354,19.34021395445752,19.23730915987253,0.4059936547279358,0.4307188987731933,0.5156013488769531,0.5523522043228148,0.0496735211610794,0.0499889421463012,0.0517057361602783,0.0519823220729827
5824,1545,7,8,0.4,0.92,False,False,False,False,2.5213205921649933,2.5419185161590576,2.62204110622406,2.6296926164627075,19.78482241164781,19.663923185560847,19.06308907090536,19.01348921919281,0.431452692747116,0.4447884559631347,0.5117998480796814,0.5297260427474976,0.0505914645930995,0.0508545517921447,0.0524573969841003,0.0525942393302917
6351,993,7,16,0.66,0.7,False,False,True,False,2.561309381723404,2.577246904373169,2.6344261884689333,2.649210214614868,19.44826559648021,19.395712467022136,18.97862089024131,18.85913859087404,0.4605450868606567,0.4750657081604004,0.5391469717025756,0.5590937709808348,0.0514735394150018,0.0515577864646911,0.0526908676624298,0.0530246971130371
6974,788,3,32,1.21,0.77,True,True,True,True,2.504432773590088,2.5110270977020264,2.537262892723084,2.542194743156433,19.96724229628783,19.91217149244401,19.70628098618779,19.668064515531235,0.3597598910331726,0.4254902601242065,0.4321471214294433,0.4342251014709473,0.0500886554718017,0.0502205419540405,0.0507452578544616,0.0508438948631286
6352,1713,5,8,1.35,0.79,False,True,True,False,2.422209012508392,2.355524778366089,3.1156496167182923,3.128874850273132,20.812146797556725,21.226712154942625,16.04801853283458,15.980189881395155,0.3382949411869049,0.2509796619415283,1.031387722492218,1.0726180601119994,0.0484441802501677,0.0471104955673217,0.0623129923343658,0.0625774970054626
7916,451,7,16,1.31,0.8,True,False,False,True,2.4121592557430267,2.457043409347534,2.556820583343506,2.5740806174278257,20.59850230185497,20.32724201851048,19.52334469377415,19.377603977340414,0.3160729396343231,0.3685932159423828,0.4408387303352356,0.4614128565788268,0.0486563481285021,0.049195065498352,0.0512207317352294,0.0516059736251831
5069,1508,7,8,1.09,0.81,False,False,True,False,2.522185518741608,2.5234155654907227,2.5946318745613097,2.614648487567901,19.829901404458106,19.814415204686867,19.27055652095985,19.12303007753456,0.4801726949214935,0.4841208457946777,0.5669222474098206,0.5999495053291319,0.0504437103748321,0.0504683113098144,0.0518926374912262,0.052292969751358
4646,161,3,16,1.09,0.97,True,True,True,True,2.51875034570694,2.533305525779724,2.545925986766816,2.556944825649261,19.85373624229202,19.737059808145645,19.63924987983523,19.554684081798943,0.4324320912361145,0.4305216073989868,0.4461486577987671,0.4487836408615112,0.0503750069141388,0.0506661105155944,0.0509185197353363,0.0511388965129852
4949,232,7,8,1.79,0.97,True,False,False,False,2.5054513812065125,2.492145299911499,3.15566508769989,3.1818625783920287,19.902002105020085,20.05310485222989,15.831197575411686,15.695262585789598,0.4558068335056305,0.4391363859176636,1.0677218794822694,1.0785287714004517,0.0506262937019,0.0498675894737243,0.0631664178371429,0.0637144435942172
4701,1992,1,8,0.46,0.9,True,True,True,True,3.114586937427521,3.123749017715454,3.1453820705413817,3.147025899887085,16.054656713173422,16.006407599945703,15.896320383666373,15.888017838766078,1.0297940254211426,1.028937816619873,1.0337401747703552,1.0390222811698913,0.0622917387485504,0.062474980354309,0.0629076414108276,0.0629405179977417
7044,1374,4,16,1.96,0.93,False,False,True,False,2.5751594257354737,2.575064420700073,2.6455537557601927,2.659533517360688,19.42250500663066,19.416991680344942,18.899643758282213,18.80029045554988,0.4976315879821777,0.4850227832794189,0.6345393896102905,0.6530566334724426,0.0515031885147094,0.0515012884140014,0.0529110751152038,0.0531906703472137
5733,1583,6,16,0.3,0.78,True,False,False,False,2.435249974727631,2.4649158716201782,2.562833321094513,2.579753179550171,20.443009470936687,20.27415332578787,19.481904402586032,19.25521637852149,0.3573181021213532,0.4065999984741211,0.514136552810669,0.5232393550872803,0.0490202679293253,0.0493238854408264,0.0513296844959259,0.0519376727768868
4560,1762,1,32,0.47,0.82,True,False,True,True,2.4497844767570496,2.499893069267273,2.5752514600753784,2.587927134037018,20.39394872964289,20.000857630870065,19.415579725807497,19.320482373004648,0.4013446283340454,0.4348093271255493,0.5200666904449462,0.5331810092926025,0.0491336097452375,0.0499978613853454,0.0515050292015075,0.0517585426807403
5058,1731,1,32,1.17,0.8,False,True,False,False,2.360000698566437,2.3643393516540527,2.519608151912689,2.540710613727569,21.1288661605576,21.144577824991863,19.81322534388073,19.67277229928765,0.2547300398349762,0.2429378032684326,0.4219763875007629,0.4291889452934265,0.0474120693445206,0.0472934484481811,0.0504713385105133,0.0508316766738891
5008,1814,2,32,1.86,0.93,False,True,True,True,2.3740173625946044,2.37751579284668,2.633451330661773,2.660323483943939,21.00638909108802,21.028729820070545,18.953598250553167,18.79076608700436,0.276269348859787,0.2516371011734009,0.5543876171112061,0.5588470530509948,0.0477401604890823,0.0475539898872375,0.0527604303359985,0.0532176300525665
5183,1127,1,16,0.08,0.86,True,False,True,True,2.2753592801094054,2.2362332344055176,2.5594019174575804,2.5791819310188293,21.946710516334694,22.35027577245336,19.533323395202583,19.38599193373073,0.2996245348453522,0.3244243860244751,0.4644103407859801,0.4824485707283019,0.0458219853204839,0.0447421813011169,0.0511945652961731,0.0515836386203765
4741,184,1,16,0.25,0.79,True,False,False,False,2.4365202367305754,2.452937126159668,2.565969669818878,2.590265743732453,20.5522204898696,20.380924102703204,19.48581973262993,19.30303938695777,0.3476648700237274,0.3884962797164917,0.4865544319152832,0.5007316398620605,0.0487354108002721,0.0490654897689819,0.0513193933963775,0.051805314874649
