max-num-batched-tokens,max-num-seqs,swap-space,block-size,scheduler-delay-factor,gpu-memory-utilization,enable-chunked-prefill,enable-prefix-caching,disable-custom-all-reduce,use-v2-block-manager,latency_average,latency_p99,tokens_per_second_average,time_to_first_token_average,time_to_first_token_p99,time_per_output_token_average,time_per_output_token_p99
7902,1561,8,16,1.66,0.9,False,True,False,False,4.967806806564331,6.091117322444916,10.211869087906065,0.8570147967338562,1.9161691021919247,0.0993561361312866,0.1218223464488983
4932,346,6,8,1.77,0.89,False,False,False,False,6.305425740480423,6.801400380134583,7.947521407856119,1.7496992504596711,2.4813906598091124,0.1261085148096084,0.1360280076026916
6561,1542,1,16,1.72,0.97,False,True,False,True,5.116593384742737,6.873411996364593,9.96018578086574,0.8874072289466858,2.87874624490738,0.1023318676948547,0.1374682399272918
6699,1657,6,8,1.22,0.98,True,False,True,False,6.171887699365616,6.638964896202087,8.115360555220832,1.9461877822875977,2.457136173248291,0.1234377539873123,0.1327792979240417
5020,256,3,8,1.05,0.82,False,True,True,True,5.180362197160721,6.131247630119324,9.761152954079524,0.8349732375144958,1.8937744855880736,0.1036072439432145,0.1226249526023864
5851,252,5,16,0.21,0.89,False,True,False,False,5.104222563505172,5.356867773532867,9.815441547066662,0.6357777881622314,1.2056431341171263,0.1020844512701034,0.1071373554706573
4953,1653,7,16,1.48,0.99,False,True,False,False,4.913292404413223,6.435435576438904,10.341597699519072,0.726429032087326,1.928604106903076,0.0982658480882645,0.128708711528778
6990,1407,6,8,1.21,0.95,False,False,False,True,6.156834369897842,6.305694589614868,8.12271222743643,1.8977715933322907,2.1004727029800416,0.1231366873979568,0.1261138917922973
4301,713,7,32,1.11,1.0,False,True,True,True,5.06356248497963,6.096555767059326,9.986621154061526,0.7940714609622955,1.9989922833442688,0.1012712496995926,0.1219311153411865
6427,113,7,32,1.3,0.89,False,True,False,False,4.763166002035141,5.654543087482453,10.586062141813343,0.6379729235172271,1.589402022361755,0.0952633200407028,0.113090861749649
8075,1475,2,16,1.99,1.0,True,True,False,False,5.960830864906311,5.99689080953598,8.388364831316968,1.8456009435653689,1.8604183602333069,0.1192166172981262,0.1199378161907196
4224,768,1,32,1.54,0.87,False,True,False,True,5.062247391939163,6.3810739111900325,10.039856442433916,0.8006304776668549,2.1773184299468995,0.1012449478387832,0.1276214782238006
4709,1965,3,16,0.22,0.94,True,False,False,True,5.850124694108963,6.049393332004547,8.552008968197429,1.3803672254085542,1.823329055309296,0.1170024938821792,0.1209878666400909
5390,568,5,32,0.53,0.98,False,True,True,True,5.085020930767059,6.309704678058624,9.992515658200832,0.8086911189556122,2.0217319345474243,0.1017004186153411,0.1261940935611724
5282,935,6,16,1.0,0.94,False,False,False,True,6.088997085094452,6.264611787796021,8.214129149681089,1.6013688516616822,1.922463257312775,0.1217799417018891,0.1252922357559204
5897,712,6,16,1.49,0.95,False,True,False,True,5.178979456424713,6.283194329738617,9.775178265470732,0.8448944365978241,2.0425741314888,0.1035795891284942,0.1256638865947723
7879,406,2,16,0.37,0.86,False,True,False,True,4.348758814334869,5.677189586162567,11.789422948275948,0.7193177580833435,1.868609027862549,0.0869751762866974,0.1135437917232513
4576,200,7,16,0.24,0.95,False,False,True,True,6.08018778681755,6.222939548492431,8.225261013077489,1.5455334198474884,1.9644578790664675,0.121603755736351,0.1244587909698486
4325,1045,1,32,0.41,0.87,False,True,True,True,5.036444951295852,6.125478494167328,10.058034543918165,0.7257237446308136,1.856026930809021,0.1007288990259171,0.1225095698833465
4434,1095,6,16,0.8,0.91,False,True,True,False,4.909663292169571,5.776433212757111,10.273270349368534,0.6936529517173767,1.569549753665924,0.0981932658433914,0.1155286642551422
6981,307,7,32,1.61,0.95,False,False,False,True,6.173091033697128,7.270116848945609,8.12695874525306,1.9921869802474976,2.160549411773676,0.1234618206739426,0.1454023369789121
5707,1185,6,32,1.97,0.95,False,False,False,True,6.2526060378551485,6.5596777939796445,8.002543339414379,1.9857959592342376,2.424075717926025,0.1250521207571029,0.1311935558795929
4641,1340,1,16,1.2,0.99,False,False,False,True,6.051579611301422,6.566309757232666,8.272435207786678,1.6607678925991058,2.5922464084625245,0.1210315922260283,0.1313261951446533
4812,325,5,32,0.39,0.87,False,True,False,False,4.433209055662156,5.583619890213012,11.501473773623248,0.6945030426979065,1.6449351024627683,0.088664181113243,0.1116723978042602
4616,883,8,16,0.17,0.93,False,False,True,True,6.035796648263931,6.184628529548645,8.285491481424714,1.5160473346710206,1.933979337215424,0.1207159329652785,0.1236925705909729
6690,303,2,8,1.24,0.92,False,True,True,True,5.0660197699069975,6.077116014957428,10.000895876031931,0.8460443723201752,1.9627328133583068,0.1013203953981399,0.1215423202991485
5909,1472,8,16,0.49,0.93,False,False,False,False,6.533237535953521,7.090739464759826,7.698701424436171,1.7170780646800994,1.9902647614479063,0.1306647507190704,0.1418147892951965
6778,523,1,16,1.06,0.85,False,False,False,False,6.04589584350586,6.47071370601654,8.284089704674495,1.7791302859783171,2.408705749511719,0.1209179168701171,0.1294142741203308
8130,1292,5,8,1.69,0.91,True,False,True,False,6.176746698617936,6.648877530097962,8.108717292605363,1.98270819067955,2.4824900889396666,0.1235349339723587,0.1329775506019592
5130,525,2,32,1.11,0.97,True,False,False,True,6.034845788478851,6.201571552753449,8.289587739468397,1.620662934780121,2.0485776329040526,0.1206969157695769,0.1240314310550689
6354,1191,1,16,0.23,0.87,False,False,True,True,6.01605175614357,6.138535704612732,8.312360280134577,1.7499662280082702,1.9221614217758176,0.1203210351228714,0.1227707140922546
7245,895,7,32,0.63,0.99,False,False,True,True,5.983191591501236,6.081828682422638,8.357448954454444,1.79921737074852,1.9954121303558348,0.1196638318300247,0.1216365736484527
5308,1313,1,32,1.04,0.99,False,False,True,False,6.002132596969605,6.089982516765595,8.331835273412995,1.6096059548854829,1.973918259143829,0.120042651939392,0.1217996503353118
5957,670,4,16,1.06,0.87,False,False,True,True,6.164054741859436,6.339325938224793,8.113965379848642,1.7445646989345551,2.007846176624298,0.1232810948371886,0.1267865187644958
8079,970,4,8,1.37,0.87,False,False,False,False,6.167149683237076,6.289048631191253,8.110336875038412,1.7776372063159942,2.184780983924865,0.1233429936647415,0.125780972623825
4123,1358,7,16,0.02,0.95,True,False,False,True,5.810372025966644,6.061840875148773,8.633708106013703,1.5520492053031922,2.442283067703247,0.1162074405193329,0.1212368175029754
4732,1393,6,16,1.42,0.97,False,True,True,False,25.600975647568703,63.10962119340897,2.6811190181887974,21.60888630648454,60.22894193649292,0.5120195129513739,1.2621924238681792
5571,847,2,8,0.25,0.98,False,True,False,False,72.55811009705067,119.8887976551056,1.2115214742350835,47.57365833520889,115.74026673316956,1.4511622019410138,2.397775953102112
6039,163,6,16,1.09,0.95,False,True,False,True,44.195410983903066,114.05664709329604,1.8397121159253875,31.491922435306368,60.27835048675537,0.8839082196780613,2.281132941865921
8119,1106,7,16,1.83,0.86,True,True,False,True,16.871388330459595,16.90620200872421,2.963610041386558,12.668640241622924,12.72515487909317,0.337427766609192,0.3381240401744843
6773,1487,5,8,0.37,0.96,False,True,True,False,32.81007711567096,63.44609370708466,1.8655308648751263,28.756823913374944,60.31469225883484,0.6562015423134193,1.268921874141693
6192,1564,4,16,0.24,0.95,False,False,True,False,56.2370497934597,114.2090518951416,1.6647817605081812,34.74181932026578,61.65446496009827,1.124740995869194,2.284181037902832
7212,1104,1,16,0.83,0.86,False,True,False,False,28.809984189622543,63.45599318265915,2.458243788772018,24.94103025338229,60.35920203447342,0.5761996837924507,1.2691198636531829
4666,1740,2,16,0.51,0.96,True,False,False,False,29.18688960808974,65.46727904319764,2.2763169534506527,24.928137251046987,61.70520127296448,0.5837377921617949,1.3093455808639527
6009,538,8,32,0.62,0.99,False,False,False,False,16.382437527179718,39.3712523818016,5.442090056759745,12.141808952604022,35.1600687623024,0.3276487505435947,0.7874250476360322
4372,883,7,16,0.88,0.96,False,False,False,False,6.002821507453919,6.161588225364685,8.331816767763026,1.5091627383232116,1.9409378123283387,0.1200564301490784,0.1232317645072937
6115,1193,3,8,1.92,0.89,False,False,True,False,6.363987456560135,7.737711985111236,7.885801309679794,1.8375232863426207,3.149669921398163,0.1272797491312027,0.1547542397022247
6070,1167,3,32,1.7,0.99,True,False,False,False,5.959224879741669,6.077888514995575,8.392993092095269,1.6842645394802094,1.9422969794273377,0.1191844975948334,0.1215577702999115
7144,231,4,8,0.06,0.97,False,True,True,True,5.255223716497421,6.145330359935761,9.635771697846115,0.8887566745281219,1.7928487467765808,0.1051044743299484,0.1229066071987152
4509,926,7,32,1.93,0.96,False,False,True,True,6.46290892958641,7.00464352607727,7.775534183172193,1.834081708192825,2.447408282756805,0.1292581785917281,0.1400928705215454
7258,626,3,8,0.97,1.0,False,True,True,True,5.199028260707856,6.1685175347328185,9.728552978358472,0.8232921481132507,1.9002000093460083,0.1039805652141571,0.1233703506946563
5654,805,5,8,0.07,0.95,False,True,False,False,4.999082261323929,5.89795657157898,10.093121864007207,0.6868947803974151,1.6863753414154052,0.0999816452264786,0.1179591314315795
4373,370,6,16,1.64,0.87,False,True,False,False,4.811385222673416,6.454625582695007,10.54975824923798,0.7741786074638367,2.145924625396729,0.0962277044534683,0.1290925116539001
8072,1351,1,32,0.04,0.91,False,True,False,True,4.977800035476685,6.1045057845115664,10.189647938972138,0.8700304365158081,1.9511012268066408,0.0995560007095337,0.1220901156902313
5534,88,3,16,0.15,0.99,False,False,False,True,6.096985123157501,6.258147320747376,8.202733563732988,1.6581438338756562,1.9559603309631344,0.12193970246315,0.1251629464149475
6733,1343,8,32,1.12,0.96,True,False,False,True,5.904134356975556,6.196948053836823,8.475792407181544,1.6756644535064698,2.031320240497589,0.1180826871395111,0.1239389610767364
4093,1908,4,16,1.64,0.92,True,False,True,False,6.256372437477112,11.963139891624442,8.444662408988197,1.474624251127243,4.353916854858395,0.1251274487495421,0.2392627978324888
5789,139,3,16,1.8,0.86,False,False,True,True,6.432501853704452,8.019027028083801,7.833996283131998,2.0988540601730348,3.042422115802765,0.1286500370740891,0.160380540561676
6281,915,7,8,0.37,0.88,False,True,False,True,5.261449741125107,6.316723928451538,9.635265382935998,0.926314685344696,1.970254116058349,0.1052289948225022,0.1263344785690307
6809,1424,5,8,0.51,0.88,False,True,True,False,5.041176997423172,6.137719857692718,10.053297624308708,0.6910887408256531,1.856620161533356,0.1008235399484634,0.1227543971538543
6680,629,2,16,1.13,0.94,True,False,False,False,6.000982111692428,6.150558164119721,8.334123248571693,1.8011405074596405,2.0307216000556947,0.1200196422338485,0.1230111632823944
7268,869,4,32,1.47,0.9,True,False,True,True,5.972930884361267,6.0589914846420285,8.372292016499527,1.6635970199108123,1.9112635660171504,0.1194586176872254,0.1211798296928405
7782,1866,3,32,1.23,0.96,False,True,False,False,4.90142808675766,5.761973204612732,10.290623888518189,0.7636094546318054,1.5724868440628053,0.0980285617351532,0.1152394640922546
4982,757,3,16,0.85,0.93,True,False,False,True,6.075868837833404,6.276896448135376,8.23465726620098,1.5866717207431793,1.9482708764076235,0.1215173767566681,0.1255379289627075
5807,752,2,16,0.83,0.91,True,False,False,False,6.055398472547531,6.178248147964477,8.259951392009523,1.6213131046295166,1.971831450462341,0.1211079694509505,0.1235649629592895
4863,518,6,8,1.06,0.91,True,False,False,True,6.159272400140762,6.731727914810181,8.137717187647153,1.5763627684116364,2.5011948633193968,0.1231854480028152,0.1346345582962036
8103,1246,2,16,1.38,0.91,True,False,True,True,6.039941728115082,6.171049785614014,8.280183138570845,1.883142672777176,2.0339850759506226,0.1207988345623016,0.1234209957122802
7420,1579,8,32,0.51,0.99,True,True,False,True,5.915281615257263,5.955016577243805,8.45295697232718,1.5485796642303469,1.8041614937782289,0.1183056323051452,0.119100331544876
5557,914,4,16,1.38,0.86,True,False,True,False,5.85090047121048,6.047960917949676,8.54929528992181,1.6352989852428437,1.904369921684265,0.1170180094242095,0.1209592183589935
5241,179,4,16,0.92,0.99,True,False,False,False,5.871319113969803,6.066925864219666,8.525916708174186,1.5917669701576234,1.97704199552536,0.117426382279396,0.1213385172843933
7032,755,7,16,1.21,0.86,False,False,False,False,5.99072019815445,6.101450319290161,8.347768979210743,1.6528741061687469,2.0799680614471434,0.1198144039630889,0.1220290063858032
7314,251,1,32,0.3,0.93,False,True,True,False,4.943196264505386,5.985577881336212,10.243024581615453,0.839411735534668,1.8360669088363648,0.0988639252901077,0.1197115576267242
4366,508,2,32,0.2,0.92,False,False,True,False,5.985597474575043,6.150882406234741,8.35540757080143,1.532331372499466,1.993316147327423,0.1197119494915007,0.1230176481246948
6047,1640,2,32,1.16,1.0,True,True,True,True,6.0564564037323,6.1010916042327885,8.255845756799141,1.5900739526748655,1.971988923549652,0.1211291280746459,0.1220218320846557
4317,1544,2,8,1.22,0.94,True,False,True,True,6.199617502689361,6.7636953282356265,8.096062659055507,1.6722643780708313,2.553705654144287,0.1239923500537872,0.1352739065647125
4454,542,3,8,0.86,0.93,True,False,False,False,6.317602514028549,7.208368012905121,7.960554933629372,1.8322065877914429,3.034076678752899,0.1263520502805709,0.1441673602581024
6055,672,4,8,0.83,0.97,False,True,True,True,5.280311796665192,6.292438585758209,9.586663261699677,0.8656007611751556,1.993789212703705,0.1056062359333038,0.1258487717151642
5539,1225,3,16,0.94,0.98,False,False,False,False,6.085004867315292,6.19040048122406,8.218026412855856,1.6585514616966248,1.954371416568756,0.1217000973463058,0.1238080096244812
6301,1714,5,16,0.11,0.98,True,True,True,True,5.959538469314575,5.996057691574097,8.390140431124232,1.771388325691223,1.848731482028961,0.1191907693862915,0.1199211538314819
7454,809,4,32,1.7,0.94,True,False,False,True,6.006597536802292,6.175083153247833,8.327315617520231,1.794915360212326,2.056221709251404,0.1201319507360458,0.1235016630649566
4478,1714,6,32,0.53,0.9,False,True,True,False,4.826579377651215,5.568069026470185,10.432916586723,0.6316044235229492,1.400495297908783,0.0965315875530243,0.1113613805294036
6768,951,4,8,1.93,0.92,False,True,False,False,5.040633591413498,6.225208840370178,10.045097195983308,0.8265840435028076,2.051147830486298,0.1008126718282699,0.1245041768074035
7875,1276,1,16,1.31,0.9,False,True,True,False,4.860613075494766,6.071413893699646,10.428533592454931,0.7865972638130188,2.183362250328064,0.0972122615098953,0.1214282778739929
5221,554,2,16,0.95,1.0,False,True,False,True,5.031221789121628,6.087127001285553,10.063285937574804,0.7675701403617858,1.8646432161331177,0.1006244357824325,0.121742540025711
6544,1104,5,16,0.7,1.0,False,True,True,False,4.852483334541321,5.726850230693817,10.39946613134114,0.6946143186092377,1.4901189923286438,0.0970496666908264,0.1145370046138763
6792,101,6,8,0.18,0.98,False,True,True,True,5.212481311559677,6.043931050300598,9.70152844328873,0.964482523202896,1.792251706123352,0.1042496262311935,0.1208786210060119
5276,1241,3,8,1.81,0.96,True,True,True,True,6.849074144363403,6.904627439975738,7.30072182572468,2.1928450536727904,2.607028563022613,0.1369814828872681,0.1380925487995147
5329,171,1,8,1.79,0.92,False,False,True,True,6.338254623413086,6.785604288578032,7.908538566319232,1.95944251537323,2.830355348587036,0.1267650924682616,0.1357120857715606
4534,1603,5,8,1.0,0.97,True,False,False,False,5.940673391819001,6.540435962677002,8.465500985157265,1.5962950205802915,2.428661766052246,0.11881346783638,0.13080871925354
5884,1665,3,16,1.42,0.88,False,True,True,False,5.151390517950058,7.032355589866637,9.807891212279968,0.6355366945266724,1.5337550282478332,0.103027810359001,0.1406471117973327
